statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM0277;2020GM0277;Rozendaal;Gelderland-Midden;GM;7
GM0279;2020GM0279;Scherpenzeel;Gelderland-Midden;GM;7
GM0289;2020GM0289;Wageningen;Gelderland-Midden;GM;7
GM0293;2020GM0293;Westervoort;Gelderland-Midden;GM;7
GM0299;2020GM0299;Zevenaar;Gelderland-Midden;GM;7
GM1705;2020GM1705;Lingewaard;Gelderland-Midden;GM;7
GM1734;2020GM1734;Overbetuwe;Gelderland-Midden;GM;7
GM0209;2020GM0209;Beuningen;Gelderland-Zuid;GZ;8
GM0214;2020GM0214;Buren;Gelderland-Zuid;GZ;8
GM0216;2020GM0216;Culemborg;Gelderland-Zuid;GZ;8
GM0225;2020GM0225;Druten;Gelderland-Zuid;GZ;8
GM0252;2020GM0252;Heumen;Gelderland-Zuid;GZ;8
GM0263;2020GM0263;Maasdriel;Gelderland-Zuid;GZ;8
GM1930;2020GM1930;Nissewaard;Rotterdam-Rijnmond;RR;17
GM0482;2020GM0482;Alblasserdam;Zuid-Holland-Zuid;ZHZ;18
GM0505;2020GM0505;Dordrecht;Zuid-Holland-Zuid;ZHZ;18
GM0512;2020GM0512;Gorinchem;Zuid-Holland-Zuid;ZHZ;18
GM0523;2020GM0523;Hardinxveld-Giessendam;Zuid-Holland-Zuid;ZHZ;18
GM0531;2020GM0531;Hendrik-Ido-Ambacht;Zuid-Holland-Zuid;ZHZ;18
GM0590;2020GM0590;Papendrecht;Zuid-Holland-Zuid;ZHZ;18
GM0610;2020GM0610;Sliedrecht;Zuid-Holland-Zuid;ZHZ;18
GM0642;2020GM0642;Zwijndrecht;Zuid-Holland-Zuid;ZHZ;18
GM1963;2020GM1963;Hoeksche Waard;Zuid-Holland-Zuid;ZHZ;18
GM1978;2020GM1978;Molenlanden;Zuid-Holland-Zuid;ZHZ;18
GM0654;2020GM0654;Borsele;Zeeland;ZEE;19
GM0664;2020GM0664;Goes;Zeeland;ZEE;19
GM0677;2020GM0677;Hulst;Zeeland;ZEE;19
GM0678;2020GM0678;Kapelle;Zeeland;ZEE;19
GM0687;2020GM0687;Middelburg;Zeeland;ZEE;19
GM0715;2020GM0715;Terneuzen;Zeeland;ZEE;19
GM0716;2020GM0716;Tholen;Zeeland;ZEE;19
GM0717;2020GM0717;Veere;Zeeland;ZEE;19
GM0718;2020GM0718;Vlissingen;Zeeland;ZEE;19
GM1676;2020GM1676;Schouwen-Duiveland;Zeeland;ZEE;19
GM1695;2020GM1695;Noord-Beveland;Zeeland;ZEE;19
GM1714;2020GM1714;Sluis;Zeeland;ZEE;19
GM0744;2020GM0744;Baarle-Nassau;Midden- en West-Brabant;MWB;20
GM0748;2020GM0748;Bergen op Zoom;Midden- en West-Brabant;MWB;20
GM0758;2020GM0758;Breda;Midden- en West-Brabant;MWB;20
GM0766;2020GM0766;Dongen;Midden- en West-Brabant;MWB;20
GM0777;2020GM0777;Etten-Leur;Midden- en West-Brabant;MWB;20
GM0779;2020GM0779;Geertruidenberg;Midden- en West-Brabant;MWB;20
GM0784;2020GM0784;Gilze en Rijen;Midden- en West-Brabant;MWB;20
GM0785;2020GM0785;Goirle;Midden- en West-Brabant;MWB;20
GM0798;2020GM0798;Hilvarenbeek;Midden- en West-Brabant;MWB;20
GM0809;2020GM0809;Loon op Zand;Midden- en West-Brabant;MWB;20
GM0824;2020GM0824;Oisterwijk;Midden- en West-Brabant;MWB;20
GM0826;2020GM0826;Oosterhout;Midden- en West-Brabant;MWB;20
GM0840;2020GM0840;Rucphen;Midden- en West-Brabant;MWB;20
GM0851;2020GM0851;Steenbergen;Midden- en West-Brabant;MWB;20
GM0855;2020GM0855;Tilburg;Midden- en West-Brabant;MWB;20
GM0867;2020GM0867;Waalwijk;Midden- en West-Brabant;MWB;20
GM0873;2020GM0873;Woensdrecht;Midden- en West-Brabant;MWB;20
GM0879;2020GM0879;Zundert;Midden- en West-Brabant;MWB;20
GM1655;2020GM1655;Halderberge;Midden- en West-Brabant;MWB;20
GM1674;2020GM1674;Roosendaal;Midden- en West-Brabant;MWB;20
GM1709;2020GM1709;Moerdijk;Midden- en West-Brabant;MWB;20
GM1719;2020GM1719;Drimmelen;Midden- en West-Brabant;MWB;20
GM1723;2020GM1723;Alphen-Chaam;Midden- en West-Brabant;MWB;20
GM1959;2020GM1959;Altena;Midden- en West-Brabant;MWB;20
GM0743;2020GM0743;Asten;Brabant-Zuidoost;BZ;22
GM0753;2020GM0753;Best;Brabant-Zuidoost;BZ;22
GM0762;2020GM0762;Deurne;Brabant-Zuidoost;BZ;22
GM0770;2020GM0770;Eersel;Brabant-Zuidoost;BZ;22
GM0772;2020GM0772;Eindhoven;Brabant-Zuidoost;BZ;22
GM0794;2020GM0794;Helmond;Brabant-Zuidoost;BZ;22
GM0820;2020GM0820;Nuenen, Gerwen en Nederwetten;Brabant-Zuidoost;BZ;22
GM0823;2020GM0823;Oirschot;Brabant-Zuidoost;BZ;22
GM0847;2020GM0847;Someren;Brabant-Zuidoost;BZ;22
GM0848;2020GM0848;Son en Breugel;Brabant-Zuidoost;BZ;22
GM0858;2020GM0858;Valkenswaard;Brabant-Zuidoost;BZ;22
GM0861;2020GM0861;Veldhoven;Brabant-Zuidoost;BZ;22
GM0866;2020GM0866;Waalre;Brabant-Zuidoost;BZ;22
GM1652;2020GM1652;Gemert-Bakel;Brabant-Zuidoost;BZ;22
GM1658;2020GM1658;Heeze-Leende;Brabant-Zuidoost;BZ;22
GM1659;2020GM1659;Laarbeek;Brabant-Zuidoost;BZ;22
GM1667;2020GM1667;Reusel-De Mierden;Brabant-Zuidoost;BZ;22
GM1706;2020GM1706;Cranendonck;Brabant-Zuidoost;BZ;22
GM1724;2020GM1724;Bergeijk;Brabant-Zuidoost;BZ;22
GM1728;2020GM1728;Bladel;Brabant-Zuidoost;BZ;22
GM1771;2020GM1771;Geldrop-Mierlo;Brabant-Zuidoost;BZ;22
GM0889;2020GM0889;Beesel;Limburg-Noord;NML;23
GM0893;2020GM0893;Bergen (L.);Limburg-Noord;NML;23
GM0907;2020GM0907;Gennep;Limburg-Noord;NML;23
GM0944;2020GM0944;Mook en Middelaar;Limburg-Noord;NML;23
GM0946;2020GM0946;Nederweert;Limburg-Noord;NML;23
GM0957;2020GM0957;Roermond;Limburg-Noord;NML;23
GM0983;2020GM0983;Venlo;Limburg-Noord;NML;23
GM0984;2020GM0984;Venray;Limburg-Noord;NML;23
GM0988;2020GM0988;Weert;Limburg-Noord;NML;23
GM1507;2020GM1507;Horst aan de Maas;Limburg-Noord;NML;23
GM1640;2020GM1640;Leudal;Limburg-Noord;NML;23
GM1641;2020GM1641;Maasgouw;Limburg-Noord;NML;23
GM1669;2020GM1669;Roerdalen;Limburg-Noord;NML;23
GM1711;2020GM1711;Echt-Susteren;Limburg-Noord;NML;23
GM1894;2020GM1894;Peel en Maas;Limburg-Noord;NML;23
GM0882;2020GM0882;Landgraaf;Zuid-Limburg;ZL;24
GM0888;2020GM0888;Beek;Zuid-Limburg;ZL;24
GM0899;2020GM0899;Brunssum;Zuid-Limburg;ZL;24
GM0917;2020GM0917;Heerlen;Zuid-Limburg;ZL;24
GM0928;2020GM0928;Kerkrade;Zuid-Limburg;ZL;24
GM0935;2020GM0935;Maastricht;Zuid-Limburg;ZL;24
GM0938;2020GM0938;Meerssen;Zuid-Limburg;ZL;24
GM0965;2020GM0965;Simpelveld;Zuid-Limburg;ZL;24
GM0971;2020GM0971;Stein;Zuid-Limburg;ZL;24
GM0981;2020GM0981;Vaals;Zuid-Limburg;ZL;24
GM0986;2020GM0986;Voerendaal;Zuid-Limburg;ZL;24
GM0994;2020GM0994;Valkenburg aan de Geul;Zuid-Limburg;ZL;24
GM1729;2020GM1729;Gulpen-Wittem;Zuid-Limburg;ZL;24
GM1883;2020GM1883;Sittard-Geleen;Zuid-Limburg;ZL;24
GM1903;2020GM1903;Eijsden-Margraten;Zuid-Limburg;ZL;24
GM1954;2020GM1954;Beekdaelen;Zuid-Limburg;ZL;24
GM0703;2020GM0703;Reimerswaal;;;
GM0268;2020GM0268;Nijmegen;Gelderland-Zuid;GZ;8
GM0281;2020GM0281;Tiel;Gelderland-Zuid;GZ;8
GM0296;2020GM0296;Wijchen;Gelderland-Zuid;GZ;8
GM0297;2020GM0297;Zaltbommel;Gelderland-Zuid;GZ;8
GM0668;2020GM0668;West Maas en Waal;Gelderland-Zuid;GZ;8
GM1740;2020GM1740;Neder-Betuwe;Gelderland-Zuid;GZ;8
GM1945;2020GM1945;Berg en Dal;Gelderland-Zuid;GZ;8
GM1960;2020GM1960;West Betuwe;Gelderland-Zuid;GZ;8
GM0307;2020GM0307;Amersfoort;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0308;2020GM0308;Baarn;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0310;2020GM0310;De Bilt;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0312;2020GM0312;Bunnik;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0313;2020GM0313;Bunschoten;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0317;2020GM0317;Eemnes;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0321;2020GM0321;Houten;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0327;2020GM0327;Leusden;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0331;2020GM0331;Lopik;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0335;2020GM0335;Montfoort;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0339;2020GM0339;Renswoude;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0340;2020GM0340;Rhenen;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0342;2020GM0342;Soest;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0344;2020GM0344;Utrecht;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0345;2020GM0345;Veenendaal;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0351;2020GM0351;Woudenberg;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0352;2020GM0352;Wijk bij Duurstede;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0353;2020GM0353;IJsselstein;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0355;2020GM0355;Zeist;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0356;2020GM0356;Nieuwegein;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0376;2020GM0376;Blaricum;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0402;2020GM0402;Hilversum;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0406;2020GM0406;Huizen;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
GM0417;2020GM0417;Laren;Utrecht/Gooi en Vechtstreek;UTR;Sep/14
